CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000088,24,3,1,5,221,22.0,3,5,5,5,4,3,5,5,1.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000089,23,1,3,2,142,62.0,3,3,3,5,5,4,5,2,1.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
CUS000090,26,5,5,4,149,61.0,2,4,4,3,3,3,2,3,3.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000091,32,3,4,4,129,13.0,1,1,5,5,5,1,5,2,1.0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
CUS000092,23,2,2,2,80,49.0,3,5,3,4,4,4,3,4,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
CUS000093,22,3,2,4,109,15.0,1,5,3,5,4,2,2,5,2.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000094,24,3,4,1,64,55.0,2,4,1,4,5,4,4,3,1.0,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
CUS000095,26,2,3,2,133,12.0,3,4,1,3,4,3,2,4,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000096,28,3,3,4,151,23.0,1,3,2,4,4,3,4,3,2.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
CUS000097,26,2,1,4,224,49.0,2,4,2,5,4,4,4,2,2.0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000098,25,1,3,4,228,54.0,3,5,3,5,4,5,5,5,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000099,25,2,2,1,86,43.0,2,4,4,3,4,4,3,4,1.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000100,18,5,1,4,33,19.0,1,4,4,3,4,2,2,4,2.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
CUS000101,21,4,5,1,101,59.0,1,1,3,4,3,3,3,2,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000102,25,2,2,2,48,13.0,1,5,3,4,4,2,3,3,2.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
CUS000103,23,2,3,3,210,59.0,1,4,4,3,2,3,2,4,1.0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000104,25,4,2,2,188,29.0,1,2,4,4,5,5,3,2,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000105,31,5,1,3,24,33.0,1,4,4,4,2,2,2,4,2.0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
CUS000106,24,2,2,1,127,24.0,1,2,4,4,5,5,5,2,,3,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
CUS000107,32,5,4,2,216,66.0,2,5,4,2,3,3,2,4,3.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000108,25,3,2,1,210,32.0,2,4,2,2,4,2,3,3,2.0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000109,27,5,3,5,109,31.0,3,2,4,5,4,5,3,2,1.0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000110,26,3,5,2,247,49.0,2,4,2,2,4,1,1,5,4.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000111,26,3,5,3,138,53.0,3,4,2,2,2,2,2,4,1.0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000112,32,5,2,5,219,29.0,3,4,4,5,4,5,2,5,2.0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
CUS000113,24,6,2,5,60,45.0,2,2,4,5,5,5,4,1,1.0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
CUS000114,27,3,3,2,116,22.0,2,4,2,2,4,2,2,4,1.0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000115,23,3,3,3,203,52.0,3,4,4,4,4,3,3,3,1.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000116,25,4,4,2,165,46.0,1,5,2,2,4,2,2,5,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000117,28,3,3,2,212,59.0,1,4,1,2,4,2,1,5,3.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000118,32,1,4,1,125,34.0,2,4,2,2,4,4,5,5,1.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000119,23,2,3,2,101,53.0,1,4,4,5,4,4,2,5,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000120,19,2,3,4,202,23.0,2,4,2,1,4,2,4,2,,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
CUS000121,19,4,5,4,166,28.0,2,5,3,4,4,3,4,5,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
