CustomerID,Age,Gender,Marital Status,Occupation,Educational Qualifications,Family size,Frequently used Medium,Frequently ordered Meal category ,Perference,Restaurnat Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,More Offers and Discount,Maximum wait time,Influence of rating
CUS068,22,Male,Single,Student,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),1,4,114,45,2,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,30 minutes,Yes
CUS069,24,Female,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,3,158,35,3,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Strongly agree,45 minutes,Yes
CUS070,25,Female,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,5,143,36,2,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,45 minutes,No
CUS071,23,Male,Single,Student,Post Graduate,2,Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner),4,3,256,50,1,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,30 minutes,No
CUS072,26,Male,Single,Student,Post Graduate,4,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),5,1,199,16,3,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,30 minutes,No
CUS073,24,Female,Single,Student,Post Graduate,3,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),1,4,219,45,2,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,45 minutes,Yes
CUS074,26,Male,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,3,43,29,3,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,45 minutes,Yes
CUS075,22,Female,Single,Student,Post Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,4,52,57,2,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,30 minutes,Yes
CUS076,24,Male,Single,Student,Post Graduate,5,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),3,3,226,68,2,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,More than 60 minutes,Maybe
CUS077,24,Male,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,3,168,24,3,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,45 minutes,Yes
CUS078,23,Female,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,3,244,42,3,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,45 minutes,Yes
CUS079,23,Male,Single,Student,Post Graduate,3,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),5,1,208,27,3,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,45 minutes,Maybe
CUS080,22,Male,Single,Student,Post Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,2,200,42,1,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,60 minutes,Yes
CUS081,23,Male,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),5,5,172,26,1,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,30 minutes,Yes
CUS082,24,Female,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,2,90,40,2,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,45 minutes,Maybe
CUS083,25,Male,Single,Student,Graduate,1,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),1,2,231,19,3,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,45 minutes,Yes
CUS084,28,Male,Married,Self Employeed,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,4,224,50,1,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,60 minutes,No
CUS085,27,Female,Prefer not to say,Employee,Post Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,1,103,30,1,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,45 minutes,No
CUS086,26,Male,Single,Self Employeed,Ph.D,1,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,2,137,62,2,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,More than 60 minutes,Yes
CUS087,22,Male,Single,Student,Post Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),2,4,86,24,1,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,15 minutes,Yes
CUS088,24,Female,Single,Student,Post Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,5,221,22,3,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,30 minutes,Yes
CUS089,23,Male,Single,Student,Post Graduate,1,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),3,2,142,62,3,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,30 minutes,Yes
CUS090,26,Male,Married,Employee,Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,4,149,61,2,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,60 minutes,No
CUS091,32,Female,Married,House wife,Uneducated,3,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),4,4,129,13,1,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,30 minutes,Yes
CUS092,23,Male,Single,Student,Post Graduate,2,Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner),2,2,80,49,3,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,45 minutes,Yes
CUS093,22,Female,Single,Employee,Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,4,109,15,1,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Disagree,Strongly agree,45 minutes,Yes
CUS094,24,Female,Single,Student,Ph.D,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,1,64,55,2,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,30 minutes,Yes
CUS095,26,Male,Single,Employee,Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,2,133,12,3,Agree,Strongly disagree,Neutral,Agree,Neutral,Disagree,Agree,15 minutes,No
CUS096,28,Male,Married,Employee,Graduate,3,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),3,4,151,23,1,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,45 minutes,Yes
CUS097,26,Male,Single,Employee,Post Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),1,4,224,49,2,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,45 minutes,Yes
